brand,review_title,review_content,cleaned_text,sentiment_score,review_rating,helpful_votes,tags,sentiment_label
JIUMESS,A travel must have!,"The JIUMESS 20000mAh Power Bank Portable Charger is an absolute lifesaver for anyone on the go. With its massive capacity, I never have to worry about running out of battery on my phone or other devices again. The inclusion of built-in cables for easy charging means I can leave the house fully equipped without needing to carry extra cords. The USB fast charging capabilities ensure that my devices are juiced up quickly, even when I'm in a rush. Plus, its compact size makes it perfect for tossing into my bag or pocket when I'm out and about. Overall, this power bank has become an essential accessory for keeping my devices powered up wherever I am.",the jiumess 20000mah power bank portable charger is an absolute lifesaver for anyone on the go with its massive capacity i never have to worry about running out of battery on my phone or other devices again the inclusion of builtin cables for easy charging means i can leave the house fully equipped without needing to carry extra cords the usb fast charging capabilities ensure that my devices are juiced up quickly even when im in a rush plus its compact size makes it perfect for tossing into my bag or pocket when im out and about overall this power bank has become an essential accessory for keeping my devices powered up wherever i am,0.9349,0.0,6,"use_case, favorite_function",positive
JIUMESS,Super useful power bank,This power bank came fully charged and ready to go right out of the box. I especially love the attached charging cords that I can plug directly into my device without having to use my charging cable. Charge lasts a long time and it's great being able to power my devices without worrying about my proximity to an outlet.,this power bank came fully charged and ready to go right out of the box i especially love the attached charging cords that i can plug directly into my device without having to use my charging cable charge lasts a long time and its great being able to power my devices without worrying about my proximity to an outlet,0.9062,0.0,0,favorite_function,positive
JIUMESS,Fantastic,"This little item is something else! It holds a lot of power, is compact and has multiple  cables to charge different phones. I can't keep enough of these.  It has become a go-to gift idea when I want to surprise someone and for the price right now, it's unbeatable. I love this product and highly recommend it.",this little item is something else it holds a lot of power is compact and has multiple cables to charge different phones i cant keep enough of these it has become a goto gift idea when i want to surprise someone and for the price right now its unbeatable i love this product and highly recommend it,0.9061,0.0,0,"use_case, favorite_function",positive
JIUMESS,Great little gadget for Travel!!,"I can charge all of the electronics that I carry with me (work phone, personal phone, earbuds) with ONE CHARGER and without having to make sure that I have packed multiple chargers (since they all seem to require a different one). It is very compact and keeps a charge for quite some time even when charging multiple electronics, multiple times!! Very satisfied!",i can charge all of the electronics that i carry with me work phone personal phone earbuds with one charger and without having to make sure that i have packed multiple chargers since they all seem to require a different one it is very compact and keeps a charge for quite some time even when charging multiple electronics multiple times very satisfied,0.659,0.0,0,"use_case, favorite_function",positive
JIUMESS,Recommend! Small footprint. Long lasting!,"Loved these! Quality. Small size. Handy with all the  variety of connections. I will
Use it for charging my phone and computer but I actually got them because I got a heated vest and this was small enough to fit in the pocket of the vest and had the capacity to keep the vest running forever. While the snow and record breaking low temps were occurring, I was toasty warm.",loved these quality small size handy with all the variety of connections i will use it for charging my phone and computer but i actually got them because i got a heated vest and this was small enough to fit in the pocket of the vest and had the capacity to keep the vest running forever while the snow and record breaking low temps were occurring i was toasty warm,0.6597,0.0,0,"use_case, favorite_function",positive
JIUMESS,so convenient,"my boys tend to fight as soon as their phones/tablets die (especially on road trips.)
this has been a godsend, and it charges their devices multiple times before needing recharged",my boys tend to fight as soon as their phonestablets die especially on road trips this has been a godsend and it charges their devices multiple times before needing recharged,-0.5859,0.0,0,"use_case, favorite_function",negative
JIUMESS,Best power bank,"These are the best, I purchased 2. I have charged several devices at once and still have plenty of power to charge more. I don't have to worry about the cable as this device has 4 plus an input I used on a jacket that warms up.",these are the best i purchased 2 i have charged several devices at once and still have plenty of power to charge more i dont have to worry about the cable as this device has 4 plus an input i used on a jacket that warms up,0.7849,0.0,0,use_case,positive
JIUMESS,I would buy it again!,"Before taking this battery pack on a trip, I tested it.  I was able to completely charge my cellphone for 3 straight nights. So thumbs up for convenience,  reliability, and comfort.",before taking this battery pack on a trip i tested it i was able to completely charge my cellphone for 3 straight nights so thumbs up for convenience reliability and comfort,0.5267,0.0,0,use_case,positive
JIUMESS,,So this was gonna be great because it has a cord so I won't have to search for them and all our phones and our stereo will be covered well within the first week. The iPhone charging cord doesn't work. We live on a generator right now so we need to have something like this so that we're always charged just in case of emergency. I'm not happy with the product right now although it's still charging androids and a charger anything is charged charger.l so this was gonna be great because it has a cord so I won't have to search for them and all our phones and our stereo will be covered well within the first week. The iPhone charging cord doesn't work. We live on a generator right now so we need to have something like this so that we're always charged just in case of emergency. I'm not happy with the product right now although it still charging androids and anything that uses the C cord.,so this was gonna be great because it has a cord so i wont have to search for them and all our phones and our stereo will be covered well within the first week the iphone charging cord doesnt work we live on a generator right now so we need to have something like this so that were always charged just in case of emergency im not happy with the product right now although its still charging androids and a charger anything is charged chargerl so this was gonna be great because it has a cord so i wont have to search for them and all our phones and our stereo will be covered well within the first week the iphone charging cord doesnt work we live on a generator right now so we need to have something like this so that were always charged just in case of emergency im not happy with the product right now although it still charging androids and anything that uses the c cord,0.4222,0.0,0,"use_case, favorite_function, concerns",neutral
JIUMESS,,"it took forever to get full the plug in cord is so short unless there is a table right next to the outlet and at the same height, it has to hang fron the outlet. It also drained my phone battery when i had it hooked up and forgot about it in my purse.",it took forever to get full the plug in cord is so short unless there is a table right next to the outlet and at the same height it has to hang fron the outlet it also drained my phone battery when i had it hooked up and forgot about it in my purse,-0.3612,0.0,0,"use_case, favorite_function, concerns",neutral
JIUMESS,Micro USB input,"It uses micro USB to charge. You plug it in and nothing lights up to show if it's charging or not.  Materials are of poor quality. When you plug your device in, it charges for three seconds  and then it turns off. 
You have to plug in a second or third time for it to start charging . Definitely not worth what I paid for it. And if you want to return it you have to pay for the shipping",it uses micro usb to charge you plug it in and nothing lights up to show if its charging or not materials are of poor quality when you plug your device in it charges for three seconds and then it turns off you have to plug in a second or third time for it to start charging definitely not worth what i paid for it and if you want to return it you have to pay for the shipping,-0.505,0.0,0,favorite_function,negative
JIUMESS,Overall a good charger...,"This charger overall is a great one. It's compact and exceptionally light with diversified functions. However, the battery itself doesn't stay charged long enough.",this charger overall is a great one its compact and exceptionally light with diversified functions however the battery itself doesnt stay charged long enough,0.69,0.0,0,favorite_function,positive
JIUMESS,"Junk, do not buy.","it is junk. Comes charged at 75%. I use that charge. Then I tried to charge it, and nothing worked, and yes, I followed the directions.  Google has no useful information on this battery bank. unbranded.",it is junk comes charged at 75 i use that charge then i tried to charge it and nothing worked and yes i followed the directions google has no useful information on this battery bank unbranded,-0.3309,0.0,0,neutral,neutral
JIUMESS,,"thought it was solar power. yet again, fooled by Good Ole Sam Walton. May God rest his soul.... WATCH THE HOLDING OF YOUR MONEY AS YOU'LL NEVER, EVER SEE IT AGAIN!",thought it was solar power yet again fooled by good ole sam walton may god rest his soul watch the holding of your money as youll never ever see it again,0.34,0.0,0,neutral,neutral
JIUMESS,Handy item and easy to use!,The 1 great feature I like about the portable charger is that the cell phone charging cables are built into it. I'm not fumbling around trying to find a cell phone charging cable to charge my phone. The device is about the size of a checkbook and the LCD screen showing the % life remaining on portable charger is bright and easy to read. I feel this was a great purchase for the price I paid!,the 1 great feature i like about the portable charger is that the cell phone charging cables are built into it im not fumbling around trying to find a cell phone charging cable to charge my phone the device is about the size of a checkbook and the lcd screen showing the life remaining on portable charger is bright and easy to read i feel this was a great purchase for the price i paid,0.9477,0.0,0,favorite_function,positive
JIUMESS,,"It takes quite a while for the power bank to charge up. I must say that the charge on it does not seem to last very long. I would connect the power bank (100%) to my phone at 30% charge and charge my phone up to 100%, and the power bank would be blinking low battery.",it takes quite a while for the power bank to charge up i must say that the charge on it does not seem to last very long i would connect the power bank 100 to my phone at 30 charge and charge my phone up to 100 and the power bank would be blinking low battery,-0.2732,0.0,0,neutral,neutral
JIUMESS,Very evvective,"It continues to work as designed and because of the attached cables it is easier to use than other chargers where you need to have a cable to connect your device.

The digital charge level is also very helpful. It charges my phone 2 or 3 times before needing to be recharged.",it continues to work as designed and because of the attached cables it is easier to use than other chargers where you need to have a cable to connect your device the digital charge level is also very helpful it charges my phone 2 or 3 times before needing to be recharged,0.5468,0.0,4,neutral,positive
JIUMESS,Power Bank is Good,Good reliable product. i scrolled through the reviews before I made my purchase and I looked at 25  reviews and 90% were positive review. This is a good product. It charges my phone and it doesn't not take long to charge up the bank. Well worth your dollars for this one.,good reliable product i scrolled through the reviews before i made my purchase and i looked at 25 reviews and 90 were positive review this is a good product it charges my phone and it doesnt not take long to charge up the bank well worth your dollars for this one,0.8834,0.0,23,favorite_function,positive
JIUMESS,Super feature backup charger!,"Nice backup battery.  I used it to recharge my cell 4 or 5 times before having to recharge it. Has a nice digital readout showing power used %26 left. It's heavy, but well made, and I really like the attached %26 self-storing cables that can't be misplaced. Good unit !",nice backup battery i used it to recharge my cell 4 or 5 times before having to recharge it has a nice digital readout showing power used 26 left its heavy but well made and i really like the attached 26 selfstoring cables that cant be misplaced good unit,0.7211,0.0,0,concerns,positive
JIUMESS,EXACTLY What I Needed!,"I wanted a portable power bank to recharge my Android phone. Not being very""Computer Literate,"" I was nervous about finding a charger/power bank that would fit my LG G6 phone! I am so happy I bought this, it is wonderful! It comes complete with 4 different attached cords, so one of them fits my phone perfectly! It holds a chharge for a long time, and even after it has charged my phone, it still has between 50-75% power left! This is going to make our summer vacation so much better, I won't be searching for a plug, or have to go back to the room! Great product!",i wanted a portable power bank to recharge my android phone not being verycomputer literate i was nervous about finding a chargerpower bank that would fit my lg g6 phone i am so happy i bought this it is wonderful it comes complete with 4 different attached cords so one of them fits my phone perfectly it holds a chharge for a long time and even after it has charged my phone it still has between 5075 power left this is going to make our summer vacation so much better i wont be searching for a plug or have to go back to the room great product,0.9662,0.0,21,favorite_function,positive
JIUMESS,Great back up phone charger,"This charger works fantastic! I really really like it and now it is my go to back up charger. I love the four cord options and light weight of the product. I wish it had a % remaining versus the 25, 50, 75, 100 LED numbers. This doesn't really tell the consumer how much time is left to charge an items.",this charger works fantastic i really really like it and now it is my go to back up charger i love the four cord options and light weight of the product i wish it had a remaining versus the 25 50 75 100 led numbers this doesnt really tell the consumer how much time is left to charge an items,0.927,0.0,0,favorite_function,positive
JIUMESS,"Scam - Perhaps 2,000-5,000mAh","The battery feels surprisingly light (feels mostly hollow) compared to my other functional 20000nAh battery bank. After I fully charged it, I was barely able to top off 2 mostly full cell phones before the battery bank was empty.

The built-in cables appear to work fine, but that matters little if it can't store the needed power.",the battery feels surprisingly light feels mostly hollow compared to my other functional 20000nah battery bank after i fully charged it i was barely able to top off 2 mostly full cell phones before the battery bank was empty the builtin cables appear to work fine but that matters little if it cant store the needed power,0.1209,0.0,0,neutral,neutral
JIUMESS,,"It takes quite a while for the power bank to charge up. I must say that the charge on it does not seem to last very long. I would connect the power bank (100%) to my phone at 30% charge and charge my phone up to 100%, and the power bank would be blinking low battery.",it takes quite a while for the power bank to charge up i must say that the charge on it does not seem to last very long i would connect the power bank 100 to my phone at 30 charge and charge my phone up to 100 and the power bank would be blinking low battery,-0.2732,0.0,0,neutral,neutral
JIUMESS,Power On The Go,"This portable power charger works great for my military son. The multiple ports allow him to charge his phone, earbuds and laptop all from this one charger. He can pack it with him and use it all day during classes when he can't necessarily be close to a power outlet. Other soldiers have inquired where they could get one like his because they're always trying to borrow it from him. Highly recommend this portable charger!",this portable power charger works great for my military son the multiple ports allow him to charge his phone earbuds and laptop all from this one charger he can pack it with him and use it all day during classes when he cant necessarily be close to a power outlet other soldiers have inquired where they could get one like his because theyre always trying to borrow it from him highly recommend this portable charger,0.8832,0.0,0,favorite_function,positive
JIUMESS,Very evvective,"It continues to work as designed and because of the attached cables it is easier to use than other chargers where you need to have a cable to connect your device.

The digital charge level is also very helpful. It charges my phone 2 or 3 times before needing to be recharged.",it continues to work as designed and because of the attached cables it is easier to use than other chargers where you need to have a cable to connect your device the digital charge level is also very helpful it charges my phone 2 or 3 times before needing to be recharged,0.5468,0.0,4,neutral,positive
JIUMESS,Great for in hand or sitting charging! Caution?!,"Love the plug and play of the usbs and yes the one charges the device. Stand doesn't necessarily stand up to expectations but I'm playing Pokémon go and it keeps me charged unless the phone and battery gets too hot in the sun, power saving keeps me at 80% but it's dropped a few times as it's used for an all day event which can be 8  hours.",love the plug and play of the usbs and yes the one charges the device stand doesnt necessarily stand up to expectations but im playing pokmon go and it keeps me charged unless the phone and battery gets too hot in the sun power saving keeps me at 80 but its dropped a few times as its used for an all day event which can be 8 hours,0.5574,0.0,0,favorite_function,positive
JIUMESS,,"i disliked the fact that i requested to have the package delivered to my Apt door,and to ring bell! BUT,it was left unattended in the mailroom,(""which has had alot of thefts lately!') but, luckily I was able to retrieve my package before someone stoled it '",i disliked the fact that i requested to have the package delivered to my apt doorand to ring bell butit was left unattended in the mailroomwhich has had alot of thefts lately but luckily i was able to retrieve my package before someone stoled it,0.5574,0.0,0,neutral,positive
JIUMESS,Reliable,"Has a nice battery life for charging your devices , it is pretty big but definitely a good reliable portable charger",has a nice battery life for charging your devices it is pretty big but definitely a good reliable portable charger,0.886,0.0,0,favorite_function,positive
JIUMESS,,The power pack is one of my  favorite purchases 🙂. I travel often easy lightweight works for me..I will charge my 📱 continue to do other tasks,the power pack is one of my favorite purchases i travel often easy lightweight works for mei will charge my continue to do other tasks,0.7096,0.0,0,"use_case, favorite_function",positive
JIUMESS,One charger handles it all.,I use it everyday several times.  I have several other chargers.  But this isn't go to when I leave the house.   Everything in one spot.,i use it everyday several times i have several other chargers but this isnt go to when i leave the house everything in one spot,-0.0772,0.0,0,neutral,neutral
