brand,review_title,review_content,cleaned_text,sentiment_score,review_rating,helpful_votes,tags,sentiment_label,use_case_mentions,noun_phrases,topic,rating_label,bert_sentiment,bert_sentiment_clean,use_case_segment,pain_points
JIUMESS,A travel must have!,"The JIUMESS 20000mAh Power Bank Portable Charger is an absolute lifesaver for anyone on the go. With its massive capacity, I never have to worry about running out of battery on my phone or other devices again. The inclusion of built-in cables for easy charging means I can leave the house fully equipped without needing to carry extra cords. The USB fast charging capabilities ensure that my devices are juiced up quickly, even when I'm in a rush. Plus, its compact size makes it perfect for tossing into my bag or pocket when I'm out and about. Overall, this power bank has become an essential accessory for keeping my devices powered up wherever I am.",the jiumess 20000mah power bank portable charger is an absolute lifesaver for anyone on the go with its massive capacity i never have to worry about running out of battery on my phone or other devices again the inclusion of builtin cables for easy charging means i can leave the house fully equipped without needing to carry extra cords the usb fast charging capabilities ensure that my devices are juiced up quickly even when im in a rush plus its compact size makes it perfect for tossing into my bag or pocket when im out and about overall this power bank has become an essential accessory for keeping my devices powered up wherever i am,0.9349,0.0,6,"use_case, favorite_function",positive,"phone, car","['an absolute lifesaver', 'anyone', 'the go', 'its massive capacity', 'i', 'battery', 'my phone', 'other devices', 'the inclusion', 'builtin cables', 'easy charging', 'i', 'the house', 'extra cords', 'my devices', 'i', 'a rush', 'its compact size', 'it', 'my bag', 'pocket', 'i', 'an essential accessory', 'my devices', 'i']",2,negative,POSITIVE,positive,other,none
JIUMESS,Super useful power bank,This power bank came fully charged and ready to go right out of the box. I especially love the attached charging cords that I can plug directly into my device without having to use my charging cable. Charge lasts a long time and it's great being able to power my devices without worrying about my proximity to an outlet.,this power bank came fully charged and ready to go right out of the box i especially love the attached charging cords that i can plug directly into my device without having to use my charging cable charge lasts a long time and its great being able to power my devices without worrying about my proximity to an outlet,0.9062,0.0,0,favorite_function,positive,other,"['this power bank', 'the box', 'i', 'the attached charging cords', 'that', 'i', 'my device', 'my charging cable charge', 'a long time', 'my devices', 'my proximity', 'an outlet']",2,negative,POSITIVE,positive,other,charging_speed
JIUMESS,Fantastic,"This little item is something else! It holds a lot of power, is compact and has multiple  cables to charge different phones. I can't keep enough of these.  It has become a go-to gift idea when I want to surprise someone and for the price right now, it's unbeatable. I love this product and highly recommend it.",this little item is something else it holds a lot of power is compact and has multiple cables to charge different phones i cant keep enough of these it has become a goto gift idea when i want to surprise someone and for the price right now its unbeatable i love this product and highly recommend it,0.9061,0.0,0,"use_case, favorite_function",positive,"phone, gift","['this little item', 'something', 'it', 'a lot', 'power', 'multiple cables', 'different phones', 'i', 'these', 'it', 'a goto gift idea', 'i', 'someone', 'the price', 'i', 'this product', 'it']",0,negative,POSITIVE,positive,other,none
JIUMESS,Great little gadget for Travel!!,"I can charge all of the electronics that I carry with me (work phone, personal phone, earbuds) with ONE CHARGER and without having to make sure that I have packed multiple chargers (since they all seem to require a different one). It is very compact and keeps a charge for quite some time even when charging multiple electronics, multiple times!! Very satisfied!",i can charge all of the electronics that i carry with me work phone personal phone earbuds with one charger and without having to make sure that i have packed multiple chargers since they all seem to require a different one it is very compact and keeps a charge for quite some time even when charging multiple electronics multiple times very satisfied,0.659,0.0,0,"use_case, favorite_function",positive,"phone, earbuds, car","['i', 'all', 'the electronics', 'that', 'i', 'me', 'phone personal phone earbuds', 'one charger', 'i', 'multiple chargers', 'they', 'all', 'a different one', 'it', 'a charge', 'quite some time', 'multiple electronics multiple times']",0,negative,POSITIVE,positive,professionals,none
JIUMESS,Recommend! Small footprint. Long lasting!,"Loved these! Quality. Small size. Handy with all the  variety of connections. I will
Use it for charging my phone and computer but I actually got them because I got a heated vest and this was small enough to fit in the pocket of the vest and had the capacity to keep the vest running forever. While the snow and record breaking low temps were occurring, I was toasty warm.",loved these quality small size handy with all the variety of connections i will use it for charging my phone and computer but i actually got them because i got a heated vest and this was small enough to fit in the pocket of the vest and had the capacity to keep the vest running forever while the snow and record breaking low temps were occurring i was toasty warm,0.6597,0.0,0,"use_case, favorite_function",positive,"phone, vest, heated vest","['these quality small size', 'all the variety', 'connections', 'i', 'it', 'my phone', 'computer', 'i', 'them', 'i', 'a heated vest', 'this', 'the pocket', 'the vest', 'the capacity', 'the vest', 'the snow', 'record', 'breaking low temps', 'i']",0,negative,POSITIVE,positive,other,none
JIUMESS,so convenient,"my boys tend to fight as soon as their phones/tablets die (especially on road trips.)
this has been a godsend, and it charges their devices multiple times before needing recharged",my boys tend to fight as soon as their phonestablets die especially on road trips this has been a godsend and it charges their devices multiple times before needing recharged,-0.5859,0.0,0,"use_case, favorite_function",negative,"phone, tablet, road trip","['my boys', 'their phonestablets', 'road trips', 'this', 'a godsend', 'it', 'their devices']",-1,negative,NEGATIVE,negative,travelers,none
JIUMESS,Best power bank,"These are the best, I purchased 2. I have charged several devices at once and still have plenty of power to charge more. I don't have to worry about the cable as this device has 4 plus an input I used on a jacket that warms up.",these are the best i purchased 2 i have charged several devices at once and still have plenty of power to charge more i dont have to worry about the cable as this device has 4 plus an input i used on a jacket that warms up,0.7849,0.0,0,use_case,positive,other,"['these', 'i', 'i', 'several devices', 'plenty', 'power', 'i', 'the cable', 'this device', '4 plus an input', 'i', 'a jacket', 'that']",0,negative,POSITIVE,positive,other,none
JIUMESS,I would buy it again!,"Before taking this battery pack on a trip, I tested it.  I was able to completely charge my cellphone for 3 straight nights. So thumbs up for convenience,  reliability, and comfort.",before taking this battery pack on a trip i tested it i was able to completely charge my cellphone for 3 straight nights so thumbs up for convenience reliability and comfort,0.5267,0.0,0,use_case,positive,phone,"['this battery pack', 'a trip', 'i', 'it', 'i', 'my cellphone', '3 straight nights', 'convenience reliability', 'comfort']",0,negative,POSITIVE,positive,travelers,none
JIUMESS,,So this was gonna be great because it has a cord so I won't have to search for them and all our phones and our stereo will be covered well within the first week. The iPhone charging cord doesn't work. We live on a generator right now so we need to have something like this so that we're always charged just in case of emergency. I'm not happy with the product right now although it's still charging androids and a charger anything is charged charger.l so this was gonna be great because it has a cord so I won't have to search for them and all our phones and our stereo will be covered well within the first week. The iPhone charging cord doesn't work. We live on a generator right now so we need to have something like this so that we're always charged just in case of emergency. I'm not happy with the product right now although it still charging androids and anything that uses the C cord.,so this was gonna be great because it has a cord so i wont have to search for them and all our phones and our stereo will be covered well within the first week the iphone charging cord doesnt work we live on a generator right now so we need to have something like this so that were always charged just in case of emergency im not happy with the product right now although its still charging androids and a charger anything is charged chargerl so this was gonna be great because it has a cord so i wont have to search for them and all our phones and our stereo will be covered well within the first week the iphone charging cord doesnt work we live on a generator right now so we need to have something like this so that were always charged just in case of emergency im not happy with the product right now although it still charging androids and anything that uses the c cord,0.4222,0.0,0,"use_case, favorite_function, concerns",positive,"phone, emergency","['this', 'it', 'a cord', 'i', 'them', 'all our phones', 'our stereo', 'the first week', 'the iphone charging cord', 'we', 'a generator', 'we', 'something', 'this', 'that', 'case', 'emergency', 'i', 'the product', 'its', 'androids', 'a charger', 'anything', 'chargerl', 'this', 'it', 'a cord', 'i', 'them', 'all our phones', 'our stereo', 'the first week', 'the iphone charging cord', 'we', 'a generator', 'we', 'something', 'this', 'that', 'case', 'emergency', 'i', 'the product', 'it', 'androids', 'anything', 'that', 'the c cord']",0,negative,NEGATIVE,negative,"professionals, outdoor_enthusiasts",none
JIUMESS,,"it took forever to get full the plug in cord is so short unless there is a table right next to the outlet and at the same height, it has to hang fron the outlet. It also drained my phone battery when i had it hooked up and forgot about it in my purse.",it took forever to get full the plug in cord is so short unless there is a table right next to the outlet and at the same height it has to hang fron the outlet it also drained my phone battery when i had it hooked up and forgot about it in my purse,-0.3612,0.0,0,"use_case, favorite_function, concerns",negative,"phone, purse","['it', 'the plug', 'cord', 'a table', 'the outlet', 'the same height', 'it', 'fron', 'the outlet', 'it', 'my phone battery', 'i', 'it', 'it', 'my purse']",0,negative,NEGATIVE,negative,other,charging_speed
